yodhajivo	Yodhàjivo	Kẻ chiến đấu	1
bhadra	Bhadra	Hiền	1
inh	định	Dhammasamàdhi	1
cung	Cùng	Antam	1
kia	Kia	Pàram	1
uoc	Ðược	Sududdasam	1
hang	Hằng	Dhuvam	1
yeu	Yếu	Apalokitam	1
thay	Thấy	Anidassanam	1
luan	Luận	Nippapam	1
lac	Lạc	Sivam	1
nghi	Nghì	Acchariyam	1
huu	Hữu	Abhutam	1
hoa	Họa	Anìtika	1
tai	Tại	Avyàpajjho	1
thoat	Thoát	Mutti	1
giu	Giữ	Anàlayo	1
ai	Ðài	Tànam	1
nua	Nửa	Upaddham	1
suka	Sùka	Râu lúa mì	1
lo	Lộ	Addhànam	1
chan	Chân	I-IV	1
mai	Mái	I-IV	1
re	Rễ	I-IV	1
vua	Vua	I-IV	1
trang	Trăng	I-IV	1
troi	Trời	I-IV	1
vai	Vải	I-IV	1
mi	Mì	Sukiya	1
hoac	Hoặc	I-IV	1
vu	Vu	Khilà	1
chuyen	Chuyển	Vatta	1
giac	Giác	Bodhanà	1
ly	Lý	Ayoniso	1
giam	Giảm	Aparihàni	1
tan	Tận	Khaya	1
nhap	Nhập	Nibbedha	1
tue	Tuệ	Duppanna	1
mon	Môn	Pariyàya	1
abhaya	Abhaya	Vô úy	1
hoan	Hoàn	Annàsativà	1
bam	Bầm	Vinilaka	1
ne	Nẻ	Vicchiddaka	1
len	Lên	Uddhumàtaka	1
manh	Mạnh	Nhiếp phục tham	1
toan	Toàn	Samattam	1
muon	Muốn	Chandam	1
hon	Hơn	Mudutaravaggo	1
bat-niet-ban	Bát-niết-bàn	Upahacca parinibhàvii	1
lua	Lửa	Arani	1
pubbakotthaka	Pubbakotthaka	Ngôi nhà phía Đông	1
jambu	Jambu	Diêm-phù	1
moc	Mộc	Thapataye	1
thiet	Thiết	Sankàsanà	1
keo	Keo	Khandira	1
loai	Lọai	Pànà	1
dong	Dòng	Sambhejja	1
kalasila	Kalasila	Hắc Nham	1
migaramatu	Migaramatu	Lộc Mẫu Giảng Đường	1
vajirapani	Vajirapani	Kim Cang Thủ	1
mau	Mẫu	Migaramatu	1
da-xoa	Dạ-xoa	Yakkaha	1
vejayanta	Vejayanta	Tối Thắng Điện	1
vehapphala	Vehapphala	Quảng quả thiên	1
vahapphala	Vahapphala	Quảng quả thiên	1
kukkutarama	Kukkutarama	Kê Viên	1
dighatapassi	Dighatapassi	Trường Khổ Hạnh Giả	1
upali	Upāli	Ưu-ba-ly	1
manosatta	Manosatta	Ý Trước thiên	1
vessa	Vessa	Phệ-xá	1
subhakinha	Subhakinha	Biến Tịnh thiên	1
pancakanga	Pancakanga	Ngũ Phần	1
udayi	Udāyi	Ưu đà di	1
rahula	Rāhula	La-hầu-la	1
anguttarapa	Anguttarapa	Ương-già Bắc Phương Thủy	1
kha-luu-lac	Kha-lưu-lạc	Myrobalan	1
kutagarasala	Kutagarasala	Giảng đường Trùng Các	1
dighanakha	Dìghanakha	Trường Trảo	1
ghosita	Ghosita	Cù-sư-la	1
anathapinka	Anathapinka	Cấp Cô Độc	1
anthapindika	Anthapindika	Cấp cô độc	1
thien	Thiên	Adhideve	1
ala	āla	Salavana	1
dakkhinagiri	Dakkhinagiri	Nam Sơn	1
icchanankala	Icchanankala	Y-xa-năng -gia-la	1
candalakappa	Candalakappa	Đan-đạt-la-kiếp-ba	1
cuoi	Cuối	Uparipaṇṇāsa	1
samagama	Samagama	Xá-di thôn	1
licchaviputta	Licchaviputta	Thiện Tinh Ly-xa Tử	1
kammasadhamma	Kammāsadhamma	Kiềm-ma-sắt-đàm	1
pajjota	Pajjota	Đăng Quang Vương	1
vebhara	Vebhāra	Phụ Trọng	1
pandava	Paṇḍava	Bạch Thiện	1
vepulla	Vepulla	Quảng Phổ	1
arittha	Ariṭṭha	A-lợi-sá	1
uparittha	Upariṭṭha	Bà-lợi-sá	1
sudassana	Sudassana	Thiện Kiến	1
